"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10007850,Economics,BSc,FullTime,0,2,4,28000,189.125
10007850,Economics,BSc,FullTime,0,0,3,28000,186.0
10007760,Economics,BSc,PartTime,0,0,,32000,0
10007760,Economics,BSc,FullTime,0,0,3,25000,103.5
10007140,Economics,BA,FullTime,0,1,3,25000,99.0
10006840,Economics,BSc,FullTime,0,0,3,25000,163.0
10000824,Economics,BA,FullTime,0,1,3,22000,96
10007785,Economics,BSc,FullTime,1,2,4,24000,93.125
10007785,Economics,BSc,FullTime,1,0,3,24000,92.0
10000886,Economics,BSc,FullTime,0,1,3,22000,112.625
10007786,Economics,BSc,FullTime,0,0,3,28000,186.26315789473685
10000961,Economics,BSc,FullTime,1,0,3,27000,114.14285714285714
10000961,Economics,BSc,FullTime,1,2,4,27000,124.0
10007788,Economics,BA,FullTime,0,0,3,28000,243.97058823529412
10007854,Economics,BSc,FullTime,1,0,3,19000,89.375
10007814,Economics,BScEcon,FullTime,0,0,3,23000,149.625
10007141,Economics,BA,FullTime,1,1,3,22000,108.5
10007141,Economics,BSc,FullTime,1,1,3,22000,105.0
10007141,Economics,BA,FullTime,2,1,4,22000,108.5
10001478,Economics,BSc,FullTime,0,1,3,28000,133.5
10001726,Economics,BA,FullTime,0,1,3,25000,113.30434782608695
10001883,Economics,BA,FullTime,0,1,3,24000,98.14285714285714
10001883,Economics,BSc,FullTime,0,1,3,24000,94.61538461538461
10007852,Economics,MA,FullTime,0,0,4,23000,114.14285714285714
10007852,Economics,BSc,FullTime,0,0,4,23000,112
10007143,Economics,BA,FullTime,1,1,3,27000,192
10007143,Economics,BA,FullTime,2,1,4,27000,192
10007789,Economics,BSc,FullTime,0,0,3,26000,147.33333333333334
10007144,Economics,BSc,FullTime,0,0,3,24000,87.5
10007791,Economics,BSc,FullTime,0,0,3,25000,113.60714285714286
10007791,Economics,BA,FullTime,0,0,3,25000,96
10007791,Economics,BA,FullTime,0,2,4,25000,116.28571428571428
10007791,Economics,BA,FullTime,2,0,4,25000,114.77777777777777
10007791,Economics,BA,FullTime,0,0,4,25000,109.33333333333333
10007791,Economics,BSc,FullTime,0,2,4,25000,96
10007791,Economics,BSc,FullTime,2,0,4,25000,114.77777777777777
10007791,Economics,BSc,FullTime,0,0,4,25000,106.0
10007792,Economics,BSc,FullTime,0,1,3,27000,183.82608695652175
10002718,Economics,BA,FullTime,0,0,3,24000,115.75
10007146,Economics,BSc,PartTime,0,1,,28000,0
10007146,Economics,BSc,FullTime,0,1,3,28000,96
10007764,Economics,MA,FullTime,0,0,4,25000,144
10007147,Economics,BA,FullTime,0,1,3,25000,106.86206896551724
10007148,Economics,BSc,FullTime,0,1,3,19000,118.0
10007149,Economics,BSc,FullTime,0,0,3,23000,121.0
10007767,Economics,BA,FullTime,0,1,3,21000,118.81818181818181
10007150,Economics,BSc,FullTime,0,0,3,27000,135.91666666666666
10003645,Economics,BSc,FullTime,0,0,3,24000,186.3125
10003678,Economics,BSc,FullTime,0,0,3,28000,92.85714285714286
10003678,Economics,BSc,FullTime,2,0,4,28000,92.85714285714286
10007768,Economics,BSc,FullTime,0,0,3,23000,148.0909090909091
10007795,Economics,BSc,FullTime,0,1,3,25000,165.68965517241378
10007796,Economics,BSc,FullTime,0,1,3,25000,138.5
10007796,Economics,BA,FullTime,0,1,3,25000,136.02325581395348
10007151,Economics,BSc,FullTime,0,0,3,20000,120.2258064516129
10006842,Economics,BSc,FullTime,0,0,3,23000,128
10004048,Economics,BSc,FullTime,0,1,3,26000,48
10004048,Economics,BSc,PartTime,0,1,,28000,0
10004063,Economics,BSc,FullTime,0,0,3,28000,230.92307692307693
10004078,Economics,BSc,FullTime,0,1,3,25000,86.0
10004113,Economics,BSc,FullTime,0,2,4,25000,149.15625
10004113,Economics,BSc,FullTime,0,0,3,25000,149.15625
10004180,Economics,BA,FullTime,2,0,4,21000,102.7741935483871
10004180,Economics,BA,FullTime,0,0,3,21000,115.0
10004180,Economics,BA,FullTime,0,2,4,21000,116.28571428571428
10004180,Economics,BA/BSc,FullTime,0,0,4,21000,114.5
10007798,Economics,BA,FullTime,0,0,3,24000,167.82608695652175
10007798,Economics,BEconSc,FullTime,0,0,3,24000,169.0
10004351,Economics,BSc,FullTime,1,0,3,24000,76.85714285714286
10004351,Economics,BA,FullTime,1,1,3,24000,76.85714285714286
10007799,Economics,BSc,FullTime,0,1,3,24000,161.875
10007138,Economics,BSc,PartTime,2,1,,27000,0
10007138,Economics,BSc,FullTime,0,1,3,25000,82.5
10007138,Economics,BSc,FullTime,2,1,4,25000,82.5
10007138,Economics,BSc,PartTime,0,1,,27000,0
10004797,Economics,BA,FullTime,0,2,4,23000,133.0
10004797,Economics,BA,FullTime,0,0,3,23000,115.0
10007154,Economics,BSc,FullTime,0,0,3,25000,180.73684210526315
10004930,Economics,BSc,PartTime,0,1,,27000,0
10004930,Economics,BSc,FullTime,0,1,3,26000,119.05882352941177
10007801,Economics,BSc,FullTime,1,1,3,25000,99.75
10007155,Economics,BSc,FullTime,0,1,3,25000,118.0
10007775,Economics,BScEcon,FullTime,0,0,4,28000,171.7391304347826
10007775,Economics,BScEcon,FullTime,0,0,3,28000,171.7391304347826
10007802,Economics,BSc,FullTime,0,1,3,25000,128
10007802,Economics,BA,FullTime,0,1,3,25000,124.5
10005553,Economics,BSc(Econ),FullTime,0,0,3,27000,126.21052631578948
10007780,Economics,BSc,FullTime,0,0,3,28000,147.0
10005790,Economics,BSc,FullTime,0,1,3,21000,96
10007157,Economics,BA,FullTime,0,1,3,23000,148.83870967741936
10007157,Economics,BSc,FullTime,0,1,3,23000,152.07692307692307
10007158,Economics,BSocSc,FullTime,0,0,3,25000,147.63636363636363
10007803,Economics,MA,FullTime,0,0,4,26000,241.66666666666666
10007803,Economics,BSc,FullTime,0,0,4,26000,215.5
10014001,Economics,BA,PartTime,0,0,,27000,0
10014001,Economics,BA,FullTime,0,0,3,20000,114.36842105263158
10007160,Economics,BSc,FullTime,0,2,4,26000,167.5
10007160,Economics,BSc,FullTime,0,0,3,26000,167.5
10007806,Economics,BA,FullTime,1,1,3,28000,112
10007806,Economics,BSc,FullTime,1,1,3,28000,130.5
10007855,Economics,BSc,FullTime,0,0,4,23000,121.0
10007855,Economics,BSc,FullTime,0,2,4,23000,112
10007855,Economics,BSc,FullTime,0,0,3,23000,118.25
10007161,Economics,BA,FullTime,0,1,3,19000,104.47826086956522
10007784,Economics,BSc(Econ),FullTime,0,0,4,28000,192
10007784,Economics,BSc(Econ),FullTime,0,0,3,28000,211.91304347826087
