"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10007849,Psychology,BSc,FullTime,0,0,4,17000,179.0
10007849,Psychology  and  Counselling,BSc,FullTime,0,0,4,17000,167.5
10007849,Psychology  and  Forensic  Biology,BSc,FullTime,0,0,4,17000,162.14285714285714
10007849,Psychology  and  Human  Resource  Management,BSc,FullTime,0,0,4,17000,172.0
10007849,Sport  and  Psychology,BSc,FullTime,0,0,4,18000,137.0
10000291,Abnormal  and  Clinical  Psychology,BSc,FullTime,0,0,3,18000,108.0
10000291,Psychology,BSc,FullTime,0,0,3,18000,94.42307692307692
10000291,Psychology  and  Criminology,BSc,FullTime,0,0,3,18000,80
10007759,Psychology,BSc,FullTime,0,0,3,18000,130.8846153846154
10007759,Psychology,BSc,FullTime,0,2,4,18000,130.8846153846154
10007857,Psychology,BSc,FullTime,0,0,3,17000,122.625
10007857,Psychology,MSci,FullTime,0,0,4,17000,124.85714285714286
10007857,Psychology  w  Clin  &  Health  Psy,MSci,FullTime,0,0,4,17000,124.85714285714286
10007857,Psychology  With  Clinical  And  Health  Psychology,BSc,FullTime,0,0,3,17000,131.75
10007857,Psychology  With  Neuropsychology,BSc,FullTime,0,0,3,17000,119.5
10007857,Sport  And  Exercise  Psychology,BSc,FullTime,0,0,3,17000,123.25
10000571,Psychology,BSc,FullTime,0,0,3,18000,115.15789473684211
10000571,Psychology  &  Sociology,BSc,FullTime,0,0,3,18000,101.0
10000571,Psychology  with  Professional  Placement  Year,BSc,FullTime,0,2,4,18000,115.75
10007850,Psychology,MSci,FullTime,0,2,5,19000,197.0
10007850,Psychology,BSc,FullTime,0,2,4,19000,196.73684210526315
10007850,Psychology,MSci,FullTime,0,0,4,19000,192.83333333333334
10007850,Psychology,BSc,FullTime,0,0,3,19000,197.0
10007152,Applied  Psychology,BSc,FullTime,0,2,4,18000,102.0
10007152,Applied  Psychology,BSc,FullTime,2,0,5,18000,90.5
10007152,Education  with  Psychology,BA,FullTime,0,0,3,18000,90.5
10007152,Health  Psychology,BSc,FullTime,0,2,4,18000,90.5
10007152,Health  Psychology,BSc,FullTime,0,0,3,18000,48
10007152,Health  Psychology,BSc,FullTime,2,0,4,18000,90.5
10007152,Psychology,BSc,FullTime,0,0,3,18000,64
10007152,Psychology,BSc,FullTime,2,0,4,18000,90.5
10007152,Psychology,BSc,FullTime,0,2,4,18000,90.5
10007152,Psychology  and  Criminal  Behaviour,BSc,FullTime,0,2,4,18000,90.5
10007152,Psychology  and  Criminal  Behaviour,BSc,FullTime,0,0,3,18000,86.0
10007152,Psychology  and  Criminal  Behaviour,BSc,FullTime,2,0,4,18000,90.5
10007152,Psychology  and  Criminology,BSc,FullTime,0,0,3,17000,90.0
10007152,Psychology  and  Criminology,BSc,FullTime,2,0,4,18000,90.5
10007152,Psychology  Counselling  and  Therapies,BSc,FullTime,0,2,4,18000,90.5
10007152,Psychology  Counselling  and  Therapies,BSc,FullTime,2,0,4,18000,90.5
10007152,Psychology  Counselling  and  Therapies,BSc,FullTime,0,0,3,18000,80
10007760,Business  Psychology,BSc,PartTime,0,0,,28000,0
10007760,Business  Psychology,BSc,FullTime,0,0,3,20000,102.0
10007760,Psychology,BSc,FullTime,0,0,3,20000,115.75
10007760,Psychology,BSc,FullTime,2,0,4,20000,117.0
10007760,Psychology,BSc,PartTime,0,0,,28000,0
10007760,Psychology  for  Education,BA,PartTime,0,0,,28000,0
10007760,Psychology  for  Education  Professionals,FD,PartTime,0,0,,30000,0
10007140,Marketing  (Consumer  Psychology),BA,PartTime,0,1,,28000,0
10007140,Psychology,BSc,FullTime,0,1,3,18000,96
10007140,Psychology  with  Business,BSc,PartTime,0,1,,28000,0
10007140,Psychology  with  Criminology,BSc,FullTime,0,1,3,18000,118.17647058823529
10007140,Psychology  with  Sociology,BSc,FullTime,0,1,3,18000,108.85714285714286
10006840,Psychology,BSc,FullTime,0,0,3,18000,166.0
10006840,Psychology  and  Psychological  Practice,MSci,FullTime,0,0,4,18000,166.34615384615384
10006840,Psychology  and  Psychological  Research,MSci,FullTime,0,0,4,18000,166.34615384615384
10007811,Education  Studies  and  Psychology,BA,FullTime,0,0,3,22000,96
10007811,Psychology  and  Early  Childhood  Studies,BA,FullTime,0,0,3,16000,115.0
10007811,Psychology  and  Special  Educational  Needs  &  Inclusion,BA,FullTime,0,0,3,16000,117.0
10006841,Criminological  and  Forensic  Psychology,BSc,FullTime,0,0,3,16000,124.5
10006841,Psychology,BSc,FullTime,0,0,3,16000,76.79411764705883
10006841,Psychology  with  Foundation,BSc,FullTime,2,0,4,16000,67.75
10006841,Psychology  Psychotherapy  and  Counselling,BSc,PartTime,0,0,,28000,0
10000824,Psychology,BSc,FullTime,0,2,3,18000,116.03846153846153
10000824,Sports  Psychology  and  Coaching  Sciences,BSc,FullTime,0,2,4,19000,124.85714285714286
10000840,Counselling  And  Psychology  In  Community  Settings,BA,FullTime,0,0,3,22000,0
10007785,Psychology,BSc,FullTime,1,0,3,16000,119.5
10000886,Applied  Psychology,BSc,FullTime,0,0,3,27000,128
10000886,Applied  Psychology  and  Criminology,BA,FullTime,0,0,3,17000,114.64705882352942
10000886,Applied  Psychology  and  Sociology,BA,FullTime,0,0,3,19000,119.5
10007786,Psychology,BSc,FullTime,0,0,3,19000,179.75
10007786,Psychology,MSci,FullTime,0,0,4,19000,179.75
10000961,Psychology,BSc,FullTime,0,2,4,19000,124.0
10000961,Psychology,BSc,FullTime,0,0,3,19000,121.28571428571429
10000961,Psychology  (Sport  Health  and  Exercise),BSc,FullTime,0,0,3,19000,122.0
10000961,Psychology  (Sport  Health  and  Exercise),BSc,FullTime,0,2,4,19000,122.0
10000975,Psychology,BSc,FullTime,1,0,3,18000,90.0
10001143,Applied  Criminology/Psychology,BSc,PartTime,0,0,,27000,0
10001143,Applied  Criminology/Sport  &  Exercise  Psychology,BSc,PartTime,0,0,,27000,0
10001143,Early  Childhood  Studies/Psychology,BA/BSc,PartTime,0,0,,19000,0
10001143,Early  Childhood  Studies/Sport  &  Exercise  Psychology,BA/BSc,PartTime,0,0,,19000,0
10001143,Health  Studies/Psychology,BSc,PartTime,0,0,,27000,0
10001143,Policing  (Criminal  Psychology),BSc,FullTime,0,0,3,19000,114.36842105263158
10001143,Policing  (Criminal  Psychology),BSc,PartTime,0,0,,30000,0
10001143,Politics/Psychology,BSc,PartTime,0,0,,27000,0
10001143,Psychology,BSc,FullTime,2,1,4,18000,109.69565217391305
10001143,Psychology,BSc,FullTime,0,1,3,18000,107.4
10001143,Psychology  (Sport  and  Exercise),BSc,FullTime,0,0,3,18000,96
10001143,Psychology/Sociology,BSc,PartTime,0,0,,27000,0
10001143,Sport  &  Exercise  Psychology,BSc,FullTime,2,0,4,18000,109.69565217391305
10007854,Education  Psychology  and  Special  Educational  Needs,BA,FullTime,0,0,3,15000,119.5
10007854,Psychology,BSc,FullTime,1,0,3,17000,112
10007814,Psychology,BSc,FullTime,0,2,4,18000,166.8181818181818
10007814,Psychology,BSc,FullTime,0,0,3,18000,163.88888888888889
10007141,Education  &  Psychology,BA,FullTime,2,0,4,17000,116.56521739130434
10007141,Education  and  Psychology,BA,FullTime,1,0,3,17000,116.56521739130434
10007141,Forensic  Psychology,BSc,FullTime,0,0,3,17000,124.5
10007141,Health  Psychology,BSc,FullTime,0,0,3,17000,116.56521739130434
