"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10007849,Psychology,BSc,FullTime,0,0,4,17000,179.0
10000291,Psychology,BSc,FullTime,0,0,3,18000,94.42307692307692
10007759,Psychology,BSc,FullTime,0,0,3,18000,130.8846153846154
10007759,Psychology,BSc,FullTime,0,2,4,18000,130.8846153846154
10007857,Psychology,BSc,FullTime,0,0,3,17000,122.625
10007857,Psychology,MSci,FullTime,0,0,4,17000,124.85714285714286
10000571,Psychology,BSc,FullTime,0,0,3,18000,115.15789473684211
10007850,Psychology,MSci,FullTime,0,2,5,19000,197.0
10007850,Psychology,BSc,FullTime,0,2,4,19000,196.73684210526315
10007850,Psychology,MSci,FullTime,0,0,4,19000,192.83333333333334
10007850,Psychology,BSc,FullTime,0,0,3,19000,197.0
10007152,Psychology,BSc,FullTime,0,0,3,18000,64
10007152,Psychology,BSc,FullTime,2,0,4,18000,90.5
10007152,Psychology,BSc,FullTime,0,2,4,18000,90.5
10007760,Psychology,BSc,FullTime,0,0,3,20000,115.75
10007760,Psychology,BSc,FullTime,2,0,4,20000,117.0
10007760,Psychology,BSc,PartTime,0,0,,28000,0
10007140,Psychology,BSc,FullTime,0,1,3,18000,96
10006840,Psychology,BSc,FullTime,0,0,3,18000,166.0
10006841,Psychology,BSc,FullTime,0,0,3,16000,76.79411764705883
10000824,Psychology,BSc,FullTime,0,2,3,18000,116.03846153846153
10007785,Psychology,BSc,FullTime,1,0,3,16000,119.5
10007786,Psychology,BSc,FullTime,0,0,3,19000,179.75
10007786,Psychology,MSci,FullTime,0,0,4,19000,179.75
10000961,Psychology,BSc,FullTime,0,2,4,19000,124.0
10000961,Psychology,BSc,FullTime,0,0,3,19000,121.28571428571429
10000975,Psychology,BSc,FullTime,1,0,3,18000,90.0
10001143,Psychology,BSc,FullTime,2,1,4,18000,109.69565217391305
10001143,Psychology,BSc,FullTime,0,1,3,18000,107.4
10007854,Psychology,BSc,FullTime,1,0,3,17000,112
10007814,Psychology,BSc,FullTime,0,2,4,18000,166.8181818181818
10007814,Psychology,BSc,FullTime,0,0,3,18000,163.88888888888889
10007141,Psychology,BSc,FullTime,1,0,3,17000,126.46428571428571
10007141,Psychology,BSc,FullTime,2,0,4,17000,126.46428571428571
10007848,Psychology,BSc,FullTime,0,0,3,17000,115.10344827586206
10007137,Psychology,BSc,FullTime,0,0,3,18000,99.0
10001478,Psychology,BSc,FullTime,0,1,3,20000,132.6875
10001726,Psychology,BSc,FullTime,0,1,3,18000,123.53846153846153
10007851,Psychology,BSc,PartTime,1,0,,23000,0
10007851,Psychology,BSc,FullTime,1,0,3,17000,97.30434782608695
10007852,Psychology,BSc,FullTime,0,0,4,17000,131.75
10007852,Psychology,MA,FullTime,0,0,4,17000,167.5
10007143,Psychology,BSc,FullTime,2,0,4,18000,187.53846153846155
10007143,Psychology,BSc,FullTime,0,0,3,18000,199.82608695652175
10007789,Psychology,BSc,FullTime,0,0,4,18000,140.85714285714286
10007789,Psychology,BSc,FullTime,0,0,3,18000,150.8181818181818
10007144,Psychology,BSc,PartTime,1,0,,26000,0
10007144,Psychology,BSc,FullTime,1,0,3,20000,100.41176470588235
10007823,Psychology,BSc,FullTime,0,1,3,17000,122.17857142857143
10007791,Psychology,BA,FullTime,0,0,4,18000,96
10007791,Psychology,BA,FullTime,0,0,3,18000,115.33333333333333
10007791,Psychology,BSc,FullTime,0,0,3,18000,130.04545454545453
10007791,Psychology,BSc,FullTime,0,0,4,18000,120.33333333333333
10007792,Psychology,BSc,FullTime,0,0,3,18000,160
10007145,Psychology,BSc,FullTime,0,0,3,17000,118.42857142857143
10007833,Psychology,BSc,FullTime,1,0,3,16000,90.0
10002718,Psychology,BSc,FullTime,0,0,3,20000,112
10007146,Psychology,BSc,FullTime,0,1,3,20000,133.0
10007764,Psychology,BSc,FullTime,0,0,4,17000,128
10007147,Psychology,BSc,PartTime,0,0,,23000,0
10007147,Psychology,BSc,FullTime,0,0,3,18000,108.32142857142857
10007148,Psychology,BSc,FullTime,0,0,3,16000,112
