"Institution, Course, Type, Study Mode, Foundation Year(s), Sandwich Year(s), Total years, Salary (6 months after), Median Tariff"
10000291,History,BA,FullTime,0,0,3,18000,90.0
10000291,Philosophy,BA,FullTime,0,0,3,18000,85.625
10007857,History,BA,FullTime,0,0,3,17000,119.5
10007857,History,MArts,FullTime,0,0,4,17000,120.4
10000571,History,BA,FullTime,0,0,3,18000,103.5
10007760,History,BA,PartTime,0,0,,34000,0
10007760,History,BA,FullTime,0,0,3,20000,96
10007760,Philosophy,BA,FullTime,0,0,3,20000,116.28571428571428
10007760,Philosophy,BA,PartTime,0,0,,30000,0
10006840,History,BA,FullTime,0,0,3,18000,165.2173913043478
10006840,Philosophy,BA,FullTime,0,0,3,18000,157.5
10007786,History,BA,FullTime,1,0,3,20000,186.625
10007786,Philosophy,BA,FullTime,1,0,3,19000,178.3684210526316
10000961,History,BA,FullTime,0,2,4,21000,96
10000961,History,BA,FullTime,0,0,3,21000,116.28571428571428
10007788,History,BA,FullTime,0,0,3,21000,215.94117647058823
10007788,Philosophy,BA,FullTime,0,0,3,20000,211.75
10001143,History,BA,FullTime,0,0,3,20000,93.5
10001143,History,BA,FullTime,2,0,4,20000,91.12903225806451
10007814,History,BA,FullTime,0,0,3,17000,155.08695652173913
10007814,History,BA,FullTime,0,0,4,17000,149.625
10007814,Philosophy,BA,FullTime,0,0,3,18000,131.0
10007141,History,BA,FullTime,2,0,4,18000,116.28571428571428
10007141,History,BA,FullTime,1,0,3,18000,116.28571428571428
10007141,Philosophy,BA,FullTime,2,0,4,18000,96
10007141,Philosophy,BA,FullTime,1,0,3,18000,96
10007848,History,BA,FullTime,0,0,3,18000,107.25
10007137,History,BA,FullTime,0,0,3,18000,101.625
10001726,History,BA,FullTime,0,1,3,19000,96
10001883,History,BA,FullTime,0,1,3,18000,98.5
10007851,History,BA,FullTime,1,0,3,18000,90.0
10007851,History,MHist,FullTime,0,0,4,18000,92.5
10007143,History,BA,FullTime,2,0,4,20000,216.0
10007143,History,BA,FullTime,1,0,3,20000,215.0
10007143,Philosophy,BA,FullTime,1,0,3,20000,203.25
10007143,Philosophy,BA,FullTime,2,0,4,20000,202.26315789473685
10007789,History,BA,FullTime,2,0,4,19000,119.5
10007789,History,BA,FullTime,0,0,3,19000,163.57142857142858
10007789,Philosophy,BA,FullTime,2,0,4,20000,117.0
10007789,Philosophy,BA,FullTime,0,0,3,20000,153.0
10007823,History,BA,FullTime,0,1,3,17000,121.0
10007791,History,BA,FullTime,0,0,3,20000,121.0
10007791,History,BA,FullTime,0,0,4,20000,112
10007791,History,BA,FullTime,2,0,4,20000,118.6
10007791,Philosophy,BA,FullTime,0,0,3,18000,131.75
10007791,Philosophy,BA,FullTime,0,0,4,18000,96
10007791,Philosophy,BA,FullTime,2,0,4,18000,133.5263157894737
10007792,History,BA,FullTime,0,1,3,20000,186.9090909090909
10007792,History,BA,FullTime,0,0,3,20000,152.57142857142858
10007792,Philosophy,BA,FullTime,0,0,3,20000,172.0
10007145,History,BA,FullTime,0,0,3,18000,118.0
10002718,History,BA,FullTime,0,0,3,22000,121.0
10007146,History,BA,FullTime,0,1,3,21000,119.5
10007147,History,BA,FullTime,0,1,3,16000,115.33333333333333
10007148,History,BA,FullTime,0,1,3,17000,120.57142857142857
10007149,History,BA,FullTime,0,0,3,18000,116.03846153846153
10007149,History,MHist,FullTime,0,0,4,18000,116.03846153846153
10007149,Philosophy,BA,FullTime,0,0,3,18000,108.5
10007149,Philosophy,BA,FullTime,2,0,4,18000,108.5
10007767,History,BA,FullTime,0,0,3,18000,124.5
10007767,Philosophy,BA,FullTime,0,0,3,18000,125.125
10007150,History,BA,FullTime,0,1,3,19000,135.2
10007150,Philosophy,BA,FullTime,0,0,3,20000,122.0
10003645,History,BA,FullTime,0,0,3,21000,166.8181818181818
10003645,Philosophy,BA,FullTime,0,0,3,22000,176.83333333333334
10003678,History,BA,FullTime,0,0,3,20000,89.0
10007768,History,BA,FullTime,0,0,3,18000,158.55882352941177
10007768,Philosophy,BA,FullTime,0,0,3,18000,161.875
10003861,History,BA,FullTime,0,0,3,18000,103.74193548387098
10003863,History,BA,FullTime,0,0,3,18000,87.5
10007795,History,BA,FullTime,0,1,3,19000,171.4
10007796,History,BA,FullTime,0,0,3,18000,135.6829268292683
10007151,History,BA,FullTime,0,0,3,18000,120.88888888888889
10007151,Philosophy,BA,FullTime,0,0,3,18000,120.57142857142857
10006842,History,BA,FullTime,0,0,3,18000,148.6153846153846
10006842,Philosophy,BA,FullTime,0,0,3,18000,138.0
10004063,History,BA,FullTime,0,0,3,22000,197.0
10004113,History,BA,FullTime,0,0,3,19000,138.0
10004113,History,BA,FullTime,0,2,4,19000,138.0
10004180,History,BA,FullTime,2,0,4,17000,112.48387096774194
10004180,History,BA,FullTime,0,0,3,17000,119.5
10004180,Philosophy,BA,FullTime,0,0,3,18000,114.5
10004180,Philosophy,BA,FullTime,2,0,4,18000,107.25
10007798,History,BA,FullTime,0,0,3,18000,162.14285714285714
10007798,Philosophy,BA,FullTime,0,0,3,17000,149.0
10007799,History,BA,FullTime,0,0,3,18000,160.78947368421052
10007799,Philosophy,BA,FullTime,0,0,3,18000,150.42857142857142
10007832,History,BA,FullTime,0,0,3,18000,106.0
10007138,History,BA,FullTime,2,0,4,18000,88.57142857142857
10007138,History,BA,FullTime,0,0,3,18000,88.57142857142857
10001282,History,BA,FullTime,1,1,3,17000,133.0
10007154,History,BA,FullTime,0,0,3,18000,163.0
10007154,Philosophy,BA,FullTime,0,0,3,19000,146.5
10004930,History,BA,FullTime,1,0,3,20000,126.5945945945946
10004930,Philosophy,BA,FullTime,0,0,3,20000,120.57142857142857
10007774,History,BA,FullTime,0,0,3,21000,206.25
10007801,History,BA,FullTime,0,0,3,18000,96
10007155,History,BA,FullTime,0,1,3,19000,109.06451612903226
10007775,History,BA,FullTime,0,0,4,21000,138.28571428571428
10007775,History,BA,FullTime,0,0,3,21000,138.28571428571428
10007802,History,BA,FullTime,0,1,3,19000,133.17241379310346
10007802,Philosophy,BA,FullTime,0,1,3,18000,112
10007776,History,BA,FullTime,0,0,3,21000,80
10007776,Philosophy,BA,FullTime,0,0,3,20000,93.33333333333333
10005553,History,BA,FullTime,0,0,3,20000,140.7941176470588
10005553,Philosophy,BA,FullTime,0,0,3,20000,124.5
